ID;SEASON;TRIAL;A_x;A_y;B_x;B_y;C_x;C_y;D_x;D_y;FOOD_x;FOOD_y;cmxpixel
20201031-1;spring;8;53.96438;69.6891;107.75007;13.75913;163.50135;68.43827;109.53697;123.2961;131.87322;25.19529;0.17869
20201031-1;spring;9;53.42831;69.6891;107.75007;13.75913;163.32266;67.72351;109.53697;123.2961;129.55025;24.12315;0.17869
20201031-1;spring;10;54.50045;70.76124;109.35828;14.11651;162.96528;68.25958;109.35828;123.83217;131.69453;23.94446;0.17869
20201101-1;spring;1;53.24962;71.11862;108.64352;13.75913;162.78659;68.08089;109.0009;123.47479;130.26501;22.15756;0.17869
20201101-1;spring;2;54.14307;70.22517;108.46483;13.58044;163.68004;68.08089;109.17959;123.2961;132.05191;21.4428;0.17869
20201101-1;spring;3;52.71355;70.58255;107.57138;14.2952;162.78659;69.15303;109.35828;123.47479;129.19287;22.51494;0.17869
20201101-1;spring;4;53.07093;70.22517;107.92876;13.75913;163.14397;67.36613;109.35828;123.2961;129.37156;21.97887;0.17869
20201101-1;spring;5;52.53486;70.22517;107.03531;14.83127;162.78659;68.79565;109.53697;123.83217;128.83549;23.40839;0.17869
20201101-1;spring;6;54.32176;70.93993;107.92876;14.11651;163.68004;67.9022;109.53697;123.65348;130.80108;24.12315;0.17869
20201101-1;spring;7;54.32176;69.86779;108.64352;13.75913;163.68004;67.54482;109.35828;123.2961;132.58798;23.58708;0.17869
20201101-1;spring;8;53.07093;70.58255;108.10745;14.83127;162.6079;68.61696;109.53697;124.18955;130.4437;23.2297;0.17869
20201101-1;spring;9;53.78569;70.40386;108.10745;13.93782;163.32266;67.36613;109.35828;123.2961;130.4437;21.4428;0.17869
20201101-1;spring;10;54.85783;70.93993;108.46483;13.75913;164.21611;68.61696;109.53697;123.65348;132.94536;21.26411;0.17869
20201101-3;spring;1;52.89224;70.93993;106.67793;13.93782;162.78659;68.08089;109.53697;123.83217;131.51584;20.54935;0.17869
20201101-3;spring;2;53.78569;70.58255;108.64352;14.65258;163.32266;68.08089;109.53697;124.18955;132.58798;21.62149;0.17869
20201101-3;spring;3;53.07093;70.93993;107.214;14.11651;162.78659;68.79565;109.53697;123.83217;132.05191;21.4428;0.17869
20201101-3;spring;4;53.07093;70.22517;107.39269;13.75913;162.6079;67.9022;109.53697;123.2961;130.26501;24.48053;0.17869
