ID,Trial,Season,time,frame,x,y,ANGLE,speed,acceleration
20201101-3,T8,spring,9.2,276.0,95.52582,18.533749,0.45808038,29.996172,175.27397
20201101-3,T8,spring,9.233333,277.0,94.73964,17.897102,0.63002264,30.349112,139.58528
20201101-3,T8,spring,9.266666,278.0,94.27918,17.362925,0.7373397,21.15749,307.31656
20201101-3,T8,spring,9.3,279.0,93.86127,16.775293,0.7708839,21.63219,61.47259
20201101-3,T8,spring,9.333333,280.0,93.3945,16.46014,0.71979654,16.895987,249.12723
20201101-3,T8,spring,9.366666,281.0,93.07395,16.398169,0.6053933,9.79463,263.13803
20201101-3,T8,spring,9.4,282.0,92.53761,16.312946,0.39215225,16.291819,195.32195
20201101-3,T8,spring,9.433333,283.0,91.88595,16.534842,-2.7441702,20.65248,295.26083
20201101-3,T8,spring,9.466666,284.0,91.468895,16.818113,0.6003409,15.124802,218.26596
20201101-3,T8,spring,9.5,285.0,91.37531,17.335327,-0.48187402,15.768082,359.26562
20201101-3,T8,spring,9.533333,286.0,91.369156,18.17878,-1.059197,25.3045,303.99582
20201101-3,T8,spring,9.566666,287.0,91.47702,19.329302,-1.538226,34.66739,294.80453
20201101-3,T8,spring,9.6,288.0,91.91126,20.558756,-1.8040847,39.11579,302.18155
20201101-3,T8,spring,9.633333,289.0,92.50798,22.060541,1.1263871,48.480293,285.44882
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
20201101-3,T8,spring,9.833333,295.0,94.7099,33.111305,-1.6889012,48.477913,413.30707
20201101-3,T8,spring,9.866666,296.0,94.48274,34.73582,-1.5898751,49.210175,222.62653
,,,,,,,,,
20201101-3,T8,spring,9.933333,298.0,94.39167,38.07103,1.4712358,46.976326,193.58195
,,,,,,,,,
20201101-3,T8,spring,10.0,300.0,94.59891,41.134384,-1.9429926,41.16832,453.4536
20201101-3,T8,spring,10.033333,301.0,95.26596,42.4353,-1.9665816,43.859394,357.1422
20201101-3,T8,spring,10.066666,302.0,96.08376,43.703842,-2.141092,45.2796,138.769
20201101-3,T8,spring,10.1,303.0,97.216835,44.917538,0.8356032,49.810833,287.97797
